t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
0.0,25.25,0.05,90.0,0.901,76.48,89.79,89.79,1.0
0.05,24.46,0.21,90.08,0.902,76.65,89.67,89.79,1.0
0.1,23.5,0.37,90.17,0.903,76.93,89.57,89.79,1.0
0.15,22.39,0.55,90.27,0.904,77.32,89.48,89.79,1.0
0.2,21.12,0.74,90.38,0.907,77.82,89.41,89.79,1.0
0.25,19.71,0.93,90.49,0.91,78.41,89.36,89.78,1.0
0.3,18.17,1.12,90.61,0.913,79.1,89.33,89.78,1.0
0.35,16.5,1.32,90.73,0.918,79.87,89.31,89.77,1.0
0.4,14.72,1.51,90.85,0.922,80.72,89.31,89.76,1.0
0.45,12.83,1.7,90.98,0.928,81.64,89.32,89.75,1.0
0.5,10.86,1.88,91.09,0.934,82.62,89.34,89.74,1.0
0.55,8.81,2.04,91.2,0.94,83.63,89.38,89.73,1.0
0.6,6.7,2.19,91.31,0.947,84.69,89.42,89.72,1.0
0.65,4.54,2.33,91.4,0.954,85.76,89.47,89.71,1.0
0.7,2.36,2.44,91.48,0.962,86.85,89.53,89.7,1.0
0.75,0.16,2.52,91.55,0.97,87.93,89.59,89.7,1.0
0.8,-2.03,2.58,91.6,0.978,89.0,89.65,89.69,1.0
0.85,-4.21,2.62,91.64,0.986,90.05,89.71,89.68,1.0
0.9,-6.35,2.62,91.66,0.995,91.06,89.77,89.68,1.0
0.95,-8.44,2.6,91.66,1.003,92.04,89.83,89.67,1.0
1.0,-10.46,2.54,91.64,1.011,92.96,89.88,89.67,1.0
1.05,-12.41,2.46,91.6,1.019,93.83,89.92,89.67,1.0
1.1,-14.26,2.34,91.54,1.027,94.64,89.96,89.67,1.0
1.15,-16.0,2.2,91.46,1.035,95.38,89.99,89.67,1.0
1.2,-17.62,2.03,91.36,1.042,96.05,90.02,89.67,1.0
1.25,-19.11,1.83,91.24,1.049,96.66,90.03,89.67,1.0
1.3,-20.46,1.6,91.11,1.055,97.19,90.04,89.68,1.0
1.35,-21.66,1.36,90.96,1.061,97.65,90.04,89.68,1.0
1.4,-22.7,1.1,90.8,1.066,98.04,90.04,89.69,1.0
1.45,-23.58,0.82,90.63,1.071,98.36,90.03,89.7,1.0
1.5,-24.29,0.53,90.45,1.075,98.6,90.01,89.7,1.0
1.55,-24.83,0.24,90.26,1.079,98.79,90.0,89.71,1.0
