t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
0.0,1.23,-0.55,89.76,0.998,89.49,89.78,89.78,1.0
0.05,0.94,-0.56,89.77,1.0,89.73,89.8,89.78,1.0
0.1,0.65,-0.56,89.77,1.002,89.97,89.83,89.78,1.0
0.15,0.35,-0.56,89.78,1.004,90.21,89.86,89.78,1.0
0.2,0.06,-0.55,89.79,1.006,90.44,89.9,89.78,1.0
0.25,-0.22,-0.54,89.8,1.008,90.66,89.94,89.78,1.0
0.3,-0.49,-0.52,89.81,1.009,90.86,89.98,89.78,1.0
0.35,-0.76,-0.5,89.82,1.011,91.05,90.03,89.79,1.0
0.4,-1.0,-0.48,89.83,1.012,91.23,90.09,89.79,1.0
0.45,-1.23,-0.45,89.84,1.013,91.38,90.14,89.8,1.0
0.5,-1.43,-0.42,89.86,1.015,91.52,90.2,89.8,1.0
0.55,-1.62,-0.38,89.87,1.015,91.63,90.26,89.81,1.0
0.6,-1.78,-0.34,89.89,1.016,91.73,90.32,89.82,1.0
0.65,-1.91,-0.3,89.91,1.016,91.8,90.38,89.82,1.0
0.7,-2.02,-0.26,89.92,1.017,91.84,90.44,89.83,1.0
0.75,-2.1,-0.21,89.94,1.017,91.87,90.5,89.85,1.0
0.8,-2.15,-0.16,89.96,1.016,91.87,90.56,89.86,1.0
0.85,-2.17,-0.11,89.98,1.016,91.85,90.62,89.87,1.0
0.9,-2.17,-0.06,89.99,1.015,91.8,90.67,89.89,1.0
0.95,-2.14,-0.01,90.01,1.015,91.73,90.73,89.91,1.0
1.0,-2.09,0.04,90.03,1.014,91.65,90.78,89.93,1.0
1.05,-2.01,0.09,90.05,1.013,91.54,90.83,89.95,1.0
1.1,-1.9,0.14,90.07,1.011,91.41,90.88,89.97,1.0
1.15,-1.78,0.19,90.09,1.01,91.27,90.92,89.99,1.0
1.2,-1.64,0.24,90.1,1.008,91.11,90.96,90.01,1.0
1.25,-1.48,0.29,90.12,1.007,90.94,91.0,90.04,1.0
