t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
0.0,12.99,1.2,90.39,0.941,82.8,90.28,90.28,1.0
0.05,13.67,1.22,90.39,0.942,82.89,90.18,90.28,1.0
0.1,14.32,1.22,90.38,0.943,82.98,90.07,90.28,1.0
0.15,14.92,1.2,90.36,0.944,83.08,89.96,90.28,1.0
0.2,15.48,1.17,90.34,0.945,83.17,89.84,90.28,1.0
0.25,16.0,1.11,90.31,0.946,83.26,89.72,90.27,1.0
0.3,16.47,1.05,90.27,0.947,83.33,89.6,90.26,1.0
0.35,16.9,0.96,90.23,0.948,83.39,89.47,90.25,1.0
0.4,17.29,0.87,90.18,0.949,83.44,89.34,90.24,1.0
0.45,17.63,0.76,90.13,0.949,83.48,89.21,90.23,1.0
0.5,17.92,0.64,90.07,0.95,83.49,89.08,90.21,1.0
0.55,18.17,0.51,90.01,0.95,83.49,88.95,90.19,1.0
0.6,18.37,0.37,89.95,0.951,83.47,88.82,90.17,1.0
0.65,18.52,0.23,89.89,0.951,83.43,88.68,90.14,1.0
0.7,18.62,0.08,89.82,0.951,83.38,88.55,90.11,1.0
0.75,18.66,-0.07,89.76,0.951,83.32,88.42,90.08,1.0
0.8,18.64,-0.22,89.69,0.951,83.24,88.29,90.04,1.0
0.85,18.57,-0.37,89.63,0.951,83.16,88.16,90.01,1.0
0.9,18.43,-0.52,89.57,0.951,83.07,88.04,89.96,1.0
0.95,18.23,-0.66,89.51,0.951,82.98,87.92,89.92,1.0
1.0,17.95,-0.79,89.46,0.951,82.9,87.8,89.87,1.0
1.05,17.61,-0.92,89.41,0.95,82.82,87.69,89.82,1.0
1.1,17.19,-1.04,89.37,0.95,82.76,87.58,89.77,1.0
1.15,16.7,-1.15,89.33,0.95,82.72,87.48,89.71,1.0
1.2,16.12,-1.25,89.29,0.95,82.7,87.39,89.66,1.0
1.25,15.47,-1.33,89.27,0.951,82.71,87.31,89.6,1.0
1.3,14.73,-1.4,89.25,0.951,82.76,87.23,89.53,1.0
1.35,13.9,-1.46,89.23,0.952,82.86,87.16,88.52,1.0
1.4,12.99,-1.5,89.23,0.953,82.99,87.11,88.51,1.0
1.45,11.99,-1.53,89.23,0.954,83.18,87.06,88.5,1.0
1.5,10.9,-1.54,89.23,0.956,83.43,87.03,88.49,1.0
1.55,9.73,-1.54,89.25,0.958,83.73,87.01,88.47,1.0
1.6,8.47,-1.52,89.27,0.96,84.1,87.0,88.44,1.0
1.65,7.13,-1.48,89.29,0.963,84.53,87.0,88.42,1.0
1.7,5.7,-1.44,89.33,0.967,85.03,87.02,88.39,1.0
1.75,4.21,-1.37,89.37,0.97,85.59,87.06,88.36,1.0
1.8,2.64,-1.3,89.41,0.975,86.21,87.11,88.33,1.0
1.85,1.01,-1.21,89.46,0.98,86.89,87.17,88.3,1.0
1.9,-0.69,-1.12,89.52,0.985,87.64,87.25,88.27,1.0
1.95,-2.43,-1.01,89.58,0.991,88.44,87.35,88.24,1.0
2.0,-4.21,-0.89,89.64,0.997,89.28,87.46,88.2,1.0
2.05,-6.03,-0.77,89.7,1.004,90.17,87.59,88.17,1.0
2.1,-7.87,-0.64,89.77,1.011,91.1,87.74,88.15,1.0
2.15,-9.73,-0.5,89.84,1.019,92.06,87.9,88.12,1.0
2.2,-11.58,-0.36,89.91,1.027,93.03,88.07,88.1,1.0
2.25,-13.43,-0.22,89.98,1.035,94.02,88.26,88.08,1.0
2.3,-15.25,-0.08,90.05,1.044,95.01,88.46,88.07,1.0
2.35,-17.03,0.06,90.12,1.053,95.99,88.67,88.05,1.0
2.4,-18.77,0.2,90.19,1.062,96.97,88.9,88.05,1.0
2.45,-20.44,0.34,90.25,1.071,97.92,89.13,88.05,1.0
2.5,-22.03,0.47,90.31,1.08,98.84,89.37,88.05,1.0
2.55,-23.54,0.6,90.37,1.089,99.73,89.62,88.06,1.0
2.6,-24.94,0.72,90.43,1.098,100.57,89.88,88.08,1.0
2.65,-26.23,0.83,90.48,1.107,101.37,90.14,88.1,1.0
2.7,-27.38,0.93,90.52,1.115,102.12,90.4,88.13,1.0
2.75,-28.4,1.02,90.56,1.123,102.8,90.67,88.16,1.0
2.8,-29.27,1.11,90.6,1.131,103.43,90.94,88.2,1.0
2.85,-29.97,1.18,90.63,1.138,103.98,91.2,88.25,1.0
2.9,-30.51,1.24,90.65,1.144,104.47,91.47,88.3,1.0
2.95,-30.87,1.3,90.67,1.149,104.89,91.73,88.37,1.0
3.0,-31.04,1.34,90.68,1.154,105.24,91.99,89.46,1.0
3.05,-31.02,1.36,90.69,1.157,105.51,92.24,89.47,1.0
3.1,-30.81,1.38,90.69,1.16,105.7,92.48,89.49,1.0
3.15,-30.41,1.39,90.69,1.162,105.82,92.72,89.52,1.0
3.2,-29.8,1.38,90.68,1.162,105.85,92.95,89.56,1.0
3.25,-29.01,1.36,90.66,1.162,105.8,93.17,89.61,1.0
3.3,-28.01,1.34,90.64,1.16,105.67,93.37,89.67,1.0
3.35,-26.83,1.3,90.61,1.158,105.46,93.57,90.74,1.0
3.4,-25.46,1.26,90.59,1.154,105.16,93.76,90.75,1.0
3.45,-23.92,1.2,90.55,1.149,104.78,93.93,90.77,1.0
3.5,-22.21,1.14,90.52,1.143,104.31,94.08,90.81,1.0
3.55,-20.33,1.07,90.48,1.137,103.75,94.23,90.85,1.0
3.6,-18.32,0.99,90.43,1.129,103.1,94.35,90.9,1.0
3.65,-16.17,0.91,90.39,1.12,102.36,94.46,90.96,1.0
3.7,-13.9,0.82,90.34,1.111,101.54,94.55,92.01,1.0
3.75,-11.53,0.73,90.3,1.101,100.62,94.63,92.02,1.0
3.8,-9.07,0.64,90.25,1.09,99.62,94.68,92.04,1.0
3.85,-6.54,0.54,90.2,1.079,98.54,94.72,92.06,1.0
3.9,-3.97,0.44,90.15,1.067,97.38,94.74,92.1,1.0
3.95,-1.36,0.34,90.1,1.055,96.14,94.73,92.14,1.0
4.0,1.27,0.24,90.05,1.043,94.82,94.7,92.19,1.0
4.05,3.88,0.14,90.01,1.031,93.45,94.66,92.24,1.0
4.1,6.47,0.04,89.96,1.018,92.02,94.58,92.29,1.0
4.15,9.02,-0.06,89.91,1.006,90.54,94.49,92.34,1.0
4.2,11.5,-0.16,89.87,0.994,89.03,94.38,92.4,1.0
4.25,13.9,-0.25,89.83,0.982,87.5,94.24,92.46,1.0
4.3,16.19,-0.34,89.78,0.971,85.96,94.08,92.51,1.0
4.35,18.37,-0.43,89.74,0.96,84.44,93.9,92.57,1.0
4.4,20.42,-0.52,89.71,0.949,82.93,93.7,92.62,1.0
4.45,22.31,-0.6,89.67,0.939,81.47,93.48,92.67,1.0
4.5,24.04,-0.68,89.63,0.93,80.06,93.24,92.72,1.0
4.55,25.59,-0.75,89.6,0.922,78.72,92.98,92.76,1.0
4.6,26.95,-0.82,89.57,0.914,77.47,92.71,92.79,1.0
4.65,28.12,-0.89,89.54,0.907,76.31,92.43,92.82,1.0
4.7,29.08,-0.95,89.51,0.9,75.26,92.14,92.85,1.0
4.75,29.83,-1.0,89.48,0.895,74.32,91.83,92.87,1.0
4.8,30.35,-1.05,89.46,0.89,73.51,91.52,92.88,1.0
4.85,30.66,-1.1,89.43,0.886,72.82,91.21,92.88,1.0
4.9,30.75,-1.14,89.41,0.883,72.27,90.89,92.87,1.0
4.95,30.61,-1.17,89.39,0.881,71.86,90.57,92.86,1.0
